"name","value","info"
"CIP19CERT2","0","Certificate of at least one but less than two academic years in Family And Consumer Sciences/Human Sciences."
"CIP19ASSOC","0","Associate degree in Family And Consumer Sciences/Human Sciences."
"CIP19CERT4","0","Award of more than two but less than four academic years in Family And Consumer Sciences/Human Sciences."
"CIP19BACHL","0","Bachelor's degree in Family And Consumer Sciences/Human Sciences."
"CIP22CERT1","0","Certificate of less than one academic year in Legal Professions And Studies."
"CIP22CERT2","0","Certificate of at least one but less than two academic years in Legal Professions And Studies."
"CIP22ASSOC","0","Associate degree in Legal Professions And Studies."
"CIP22CERT4","0","Award of more than two but less than four academic years in Legal Professions And Studies."
"CIP22BACHL","0","Bachelor's degree in Legal Professions And Studies."
"CIP23CERT1","0","Certificate of less than one academic year in English Language And Literature/Letters."
"CIP23CERT2","0","Certificate of at least one but less than two academic years in English Language And Literature/Letters."
"CIP23ASSOC","0","Associate degree in English Language And Literature/Letters."
"CIP23CERT4","0","Award of more than two but less than four academic years in English Language And Literature/Letters."
"CIP23BACHL","1","Bachelor's degree in English Language And Literature/Letters."
"CIP24CERT1","0","Certificate of less than one academic year in Liberal Arts And Sciences, General Studies And Humanities."
"CIP24CERT2","0","Certificate of at least one but less than two academic years in Liberal Arts And Sciences, General Studies And Humanities."
"CIP24ASSOC","0","Associate degree in Liberal Arts And Sciences, General Studies And Humanities."
"CIP24CERT4","0","Award of more than two but less than four academic years in Liberal Arts And Sciences, General Studies And Humanities."
"CIP24BACHL","1","Bachelor's degree in Liberal Arts And Sciences, General Studies And Humanities."
"CIP25CERT1","0","Certificate of less than one academic year in Library Science."
"CIP25CERT2","0","Certificate of at least one but less than two academic years in Library Science."
"CIP25ASSOC","0","Associate degree in Library Science."
"CIP25CERT4","0","Award of more than two but less than four academic years in Library Science."
"CIP25BACHL","0","Bachelor's degree in Library Science."
"CIP26CERT1","0","Certificate of less than one academic year in Biological And Biomedical Sciences."
"CIP26CERT2","0","Certificate of at least one but less than two academic years in Biological And Biomedical Sciences."
"CIP26ASSOC","0","Associate degree in Biological And Biomedical Sciences."
"CIP26CERT4","0","Award of more than two but less than four academic years in Biological And Biomedical Sciences."
"CIP26BACHL","1","Bachelor's degree in Biological And Biomedical Sciences."
"CIP27CERT1","0","Certificate of less than one academic year in Mathematics And Statistics."
"CIP27CERT2","0","Certificate of at least one but less than two academic years in Mathematics And Statistics."
"CIP27ASSOC","0","Associate degree in Mathematics And Statistics."
"CIP27CERT4","0","Award of more than two but less than four academic years in Mathematics And Statistics."
"CIP27BACHL","1","Bachelor's degree in Mathematics And Statistics."
"CIP29CERT1","0","Certificate of less than one academic year in Military Technologies And Applied Sciences."
"CIP29CERT2","0","Certificate of at least one but less than two academic years in Military Technologies And Applied Sciences."
"CIP29ASSOC","0","Associate degree in Military Technologies And Applied Sciences."
"CIP29CERT4","0","Award of more than two but less than four academic years in Military Technologies And Applied Sciences."
"CIP29BACHL","0","Bachelor's degree in Military Technologies And Applied Sciences."
"CIP30CERT1","0","Certificate of less than one academic year in Multi/Interdisciplinary Studies."
"CIP30CERT2","0","Certificate of at least one but less than two academic years in Multi/Interdisciplinary Studies."
"CIP30ASSOC","0","Associate degree in Multi/Interdisciplinary Studies."
"CIP30CERT4","0","Award of more than two but less than four academic years in Multi/Interdisciplinary Studies."
"CIP30BACHL","1","Bachelor's degree in Multi/Interdisciplinary Studies."
"CIP31CERT1","0","Certificate of less than one academic year in Parks, Recreation, Leisure, And Fitness Studies."
"CIP31CERT2","0","Certificate of at least one but less than two academic years in Parks, Recreation, Leisure, And Fitness Studies."
"CIP31ASSOC","0","Associate degree in Parks, Recreation, Leisure, And Fitness Studies."
"CIP31CERT4","0","Award of more than two but less than four academic years in Parks, Recreation, Leisure, And Fitness Studies."
"CIP31BACHL","0","Bachelor's degree in Parks, Recreation, Leisure, And Fitness Studies."
"CIP38CERT1","0","Certificate of less than one academic year in Philosophy And Religious Studies."
"CIP38CERT2","0","Certificate of at least one but less than two academic years in Philosophy And Religious Studies."
"CIP38ASSOC","0","Associate degree in Philosophy And Religious Studies."
"CIP38CERT4","0","Award of more than two but less than four academic years in Philosophy And Religious Studies."
"CIP38BACHL","1","Bachelor's degree in Philosophy And Religious Studies."
"CIP39CERT1","0","Certificate of less than one academic year in Theology And Religious Vocations."
"CIP39CERT2","0","Certificate of at least one but less than two academic years in Theology And Religious Vocations."
"CIP39ASSOC","0","Associate degree in Theology And Religious Vocations."
"CIP39CERT4","0","Award of more than two but less than four academic years in Theology And Religious Vocations."
"CIP39BACHL","0","Bachelor's degree in Theology And Religious Vocations."
"CIP40CERT1","0","Certificate of less than one academic year in Physical Sciences."
"CIP40CERT2","0","Certificate of at least one but less than two academic years in Physical Sciences."
"CIP40ASSOC","0","Associate degree in Physical Sciences."
"CIP40CERT4","0","Award of more than two but less than four academic years in Physical Sciences."
"CIP40BACHL","1","Bachelor's degree in Physical Sciences."
"CIP41CERT1","0","Certificate of less than one academic year in Science Technologies/Technicians."
"CIP41CERT2","0","Certificate of at least one but less than two academic years in Science Technologies/Technicians."
"CIP41ASSOC","0","Associate degree in Science Technologies/Technicians."
"CIP41CERT4","0","Award of more than two but less than four academic years in Science Technologies/Technicians."
"CIP41BACHL","0","Bachelor's degree in Science Technologies/Technicians."
"CIP42CERT1","0","Certificate of less than one academic year in Psychology."
"CIP42CERT2","0","Certificate of at least one but less than two academic years in Psychology."
"CIP42ASSOC","0","Associate degree in Psychology."
"CIP42CERT4","0","Award of more than two but less than four academic years in Psychology."
"CIP42BACHL","1","Bachelor's degree in Psychology."
"CIP43CERT1","0","Certificate of less than one academic year in Homeland Security, Law Enforcement, Firefighting And Related Protective Services."
"CIP43CERT2","0","Certificate of at least one but less than two academic years in Homeland Security, Law Enforcement, Firefighting And Related Protective Services."
"CIP43ASSOC","0","Associate degree in Homeland Security, Law Enforcement, Firefighting And Related Protective Services."
"CIP43CERT4","0","Award of more than two but less than four academic years in Homeland Security, Law Enforcement, Firefighting And Related Protective Services."
"CIP43BACHL","0","Bachelor's degree in Homeland Security, Law Enforcement, Firefighting And Related Protective Services."
"CIP44CERT1","0","Certificate of less than one academic year in Public Administration And Social Service Professions."
"CIP44CERT2","0","Certificate of at least one but less than two academic years in Public Administration And Social Service Professions."
"CIP44ASSOC","0","Associate degree in Public Administration And Social Service Professions."
"CIP44CERT4","0","Award of more than two but less than four academic years in Public Administration And Social Service Professions."
"CIP44BACHL","0","Bachelor's degree in Public Administration And Social Service Professions."
"CIP45CERT1","0","Certificate of less than one academic year in Social Sciences."
"CIP45CERT2","0","Certificate of at least one but less than two academic years in Social Sciences."
"CIP45ASSOC","0","Associate degree in Social Sciences."
"CIP45CERT4","0","Award of more than two but less than four academic years in Social Sciences."
"CIP45BACHL","1","Bachelor's degree in Social Sciences."
"CIP46CERT1","0","Certificate of less than one academic year in Construction Trades."
"CIP46CERT2","0","Certificate of at least one but less than two academic years in Construction Trades."
"CIP46ASSOC","0","Associate degree in Construction Trades."
"CIP46CERT4","0","Award of more than two but less than four academic years in Construction Trades."
"CIP46BACHL","0","Bachelor's degree in Construction Trades."
"CIP47CERT1","0","Certificate of less than one academic year in Mechanic And Repair Technologies/Technicians."
"CIP47CERT2","0","Certificate of at least one but less than two academic years in Mechanic And Repair Technologies/Technicians."
"CIP47ASSOC","0","Associate degree in Mechanic And Repair Technologies/Technicians."
"CIP47CERT4","0","Award of more than two but less than four academic years in Mechanic And Repair Technologies/Technicians."
"CIP47BACHL","0","Bachelor's degree in Mechanic And Repair Technologies/Technicians."
"CIP48CERT1","0","Certificate of less than one academic year in Precision Production."
"CIP48CERT2","0","Certificate of at least one but less than two academic years in Precision Production."
"CIP48ASSOC","0","Associate degree in Precision Production."
"CIP48CERT4","0","Award of more than two but less than four academic years in Precision Production."
"CIP48BACHL","0","Bachelor's degree in Precision Production."
"CIP49CERT1","0","Certificate of less than one academic year in Transportation And Materials Moving."
"CIP49CERT2","0","Certificate of at least one but less than two academic years in Transportation And Materials Moving."
"CIP49ASSOC","0","Associate degree in Transportation And Materials Moving."
"CIP49CERT4","0","Award of more than two but less than four academic years in Transportation And Materials Moving."
"CIP49BACHL","0","Bachelor's degree in Transportation And Materials Moving."
"CIP50CERT1","0","Certificate of less than one academic year in Visual And Performing Arts."
"CIP50CERT2","0","Certificate of at least one but less than two academic years in Visual And Performing Arts."
"CIP50ASSOC","0","Associate degree in Visual And Performing Arts."
"CIP50CERT4","0","Award of more than two but less than four academic years in Visual And Performing Arts."
"CIP50BACHL","1","Bachelor's degree in Visual And Performing Arts."
"CIP51CERT1","0","Certificate of less than one academic year in Health Professions And Related Programs."
"CIP51CERT2","0","Certificate of at least one but less than two academic years in Health Professions And Related Programs."
"CIP51ASSOC","0","Associate degree in Health Professions And Related Programs."
"CIP51CERT4","0","Award of more than two but less than four academic years in Health Professions And Related Programs."
"CIP51BACHL","0","Bachelor's degree in Health Professions And Related Programs."
"CIP52CERT1","0","Certificate of less than one academic year in Business, Management, Marketing, And Related Support Services."
"CIP52CERT2","0","Certificate of at least one but less than two academic years in Business, Management, Marketing, And Related Support Services."
"CIP52ASSOC","0","Associate degree in Business, Management, Marketing, And Related Support Services."
"CIP52CERT4","0","Award of more than two but less than four academic years in Business, Management, Marketing, And Related Support Services."
"CIP52BACHL","0","Bachelor's degree in Business, Management, Marketing, And Related Support Services."
"CIP54CERT1","0","Certificate of less than one academic year in History."
"CIP54CERT2","0","Certificate of at least one but less than two academic years in History."
"CIP54ASSOC","0","Associate degree in History."
"CIP54CERT4","0","Award of more than two but less than four academic years in History."
"CIP54BACHL","1","Bachelor's degree in History."
"DISTANCEONLY","0","Flag for distance-education-only education"
"UGDS","2045","Enrollment of undergraduate certificate/degree-seeking students"
"UG","1936","Enrollment of all undergraduate students"
"UGDS_WHITE","0.6161","Total share of enrollment of undergraduate degree-seeking students who are white"
"UGDS_BLACK","0.045","Total share of enrollment of undergraduate degree-seeking students who are black"
"UGDS_HISP","0.0748","Total share of enrollment of undergraduate degree-seeking students who are Hispanic"
"UGDS_ASIAN","0.0856","Total share of enrollment of undergraduate degree-seeking students who are Asian"
"UGDS_AIAN","0.0015","Total share of enrollment of undergraduate degree-seeking students who are American Indian/Alaska Native"
"UGDS_NHPI","0.001","Total share of enrollment of undergraduate degree-seeking students who are Native Hawaiian/Pacific Islander"
"UGDS_2MOR","0.0567","Total share of enrollment of undergraduate degree-seeking students who are two or more races"
"UGDS_NRA","0.1017","Total share of enrollment of undergraduate degree-seeking students who are non-resident aliens"
"UGDS_UNKN","0.0176","Total share of enrollment of undergraduate degree-seeking students whose race is unknown"
"UGDS_WHITENH","0.6913","Total share of enrollment of undergraduate degree-seeking students who are white non-Hispanic"
"UGDS_BLACKNH","0.0463","Total share of enrollment of undergraduate degree-seeking students who are black non-Hispanic"
"UGDS_API","0.0967","Total share of enrollment of undergraduate degree-seeking students who are Asian/Pacific Islander"
"UGDS_AIANOLD","0.0065","Total share of enrollment of undergraduate degree-seeking students who are American Indian/Alaska Native"
"UGDS_HISPOLD","0.0554","Total share of enrollment of undergraduate degree-seeking students who are Hispanic"
"UG_NRA","0.0181","Total share of enrollment of undergraduate students who are non-resident aliens"
"UG_UNKN","0","Total share of enrollment of undergraduate students whose race is unknown"
"UG_WHITENH","0.8316","Total share of enrollment of undergraduate students who are white non-Hispanic"
"UG_BLACKNH","0.0294","Total share of enrollment of undergraduate students who are black non-Hispanic"
"UG_API","0.0821","Total share of enrollment of undergraduate students who are Asian/Pacific Islander"
"UG_AIANOLD","0.0026","Total share of enrollment of undergraduate students who are American Indian/Alaska Native"
"UG_HISPOLD","0.0362","Total share of enrollment of undergraduate students who are Hispanic"
"PPTUG_EF","0","Share of undergraduate, degree-/certificate-seeking students who are part-time"
"PPTUG_EF2","0.0114","Share of undergraduate, degree-/certificate-seeking students who are part-time"
"CURROPER","1","Flag for currently operating institution, 0=closed, 1=operating"
"NPT4_PUB",,"Average net price for Title IV institutions (public institutions)"
"NPT4_PRIV","26745","Average net price for Title IV institutions (private for-profit and nonprofit institutions)"
"NPT4_PROG",,"Average net price for the largest program at the institution for program-year institutions"
"NPT4_OTHER",,"Average net price for the largest program at the institution for schools on ""other"" academic year calendars"
"NPT41_PUB",,"Average net price for $0-$30,000 family income (public institutions)"
"NPT42_PUB",,"Average net price for $30,001-$48,000 family income (public institutions)"
"NPT43_PUB",,"Average net price for $48,001-$75,000 family income (public institutions)"
"NPT44_PUB",,"Average net price for $75,001-$110,000 family income (public institutions)"
"NPT45_PUB",,"Average net price for $110,000+ family income (public institutions)"
"NPT41_PRIV","12207","Average net price for $0-$30,000 family income (private for-profit and nonprofit institutions)"
"NPT42_PRIV","13473","Average net price for $30,001-$48,000 family income (private for-profit and nonprofit institutions)"
"NPT43_PRIV","14682","Average net price for $48,001-$75,000 family income (private for-profit and nonprofit institutions)"
"NPT44_PRIV","22396","Average net price for $75,001-$110,000 family income (private for-profit and nonprofit institutions)"
"NPT45_PRIV","38398","Average net price for $110,000+ family income (private for-profit and nonprofit institutions)"
"NPT41_PROG",,"Average net price for $0-$30,000 family income (program-year institutions)"
"NPT42_PROG",,"Average net price for $30,001-$48,000 family income (program-year institutions)"
"NPT43_PROG",,"Average net price for $48,001-$75,000 family income (program-year institutions)"
"NPT44_PROG",,"Average net price for $75,001-$110,000 family income (program-year institutions)"
"NPT45_PROG",,"Average net price for $110,000+ family income (program-year institutions)"
"NPT41_OTHER",,"Average net price for $0-$30,000 family income (other academic calendar institutions)"
"NPT42_OTHER",,"Average net price for $30,001-$48,000 family income (other academic calendar institutions)"
"NPT43_OTHER",,"Average net price for $48,001-$75,000 family income (other academic calendar institutions)"
"NPT44_OTHER",,"Average net price for $75,001-$110,000 family income (other academic calendar institutions)"
"NPT45_OTHER",,"Average net price for $110,000+ family income (other academic calendar institutions)"
"NPT4_048_PUB",,"Average net price for $0-$48,000 family income (public institutions)"
"NPT4_048_PRIV","12840","Average net price for $0-$48,000 family income (private for-profit and nonprofit institutions)"
"NPT4_048_PROG",,"Average net price for $0-$48,000 family income (program-year institutions)"
"NPT4_048_OTHER",,"Average net price for $0-$48,000 family income (other academic calendar institutions)"
"NPT4_3075_PUB",,"Average net price for $30,001-$75,000 family income (public institutions)"
"NPT4_3075_PRIV","14110","Average net price for $30,001-$75,000 family income (private for-profit and nonprofit institutions)"
"NPT4_75UP_PUB",,"Average net price for $75,000+ family income (public institutions)"
"NPT4_75UP_PRIV","34044","Average net price for $75,000+ family income (private for-profit and nonprofit institutions)"
"NPT4_3075_PROG",,"Average net price for $30,001-$75,000 family income (program-year institutions)"
"NPT4_3075_OTHER",,"Average net price for $30,001-$75,000 family income (other academic calendar institutions)"
"NPT4_75UP_PROG",,"Average net price for $75,000+ family income (program-year institutions)"
"NPT4_75UP_OTHER",,"Average net price for $75,000+ family income (other academic calendar institutions)"
"NUM4_PUB",,"Number of Title IV students (public institutions)"
"NUM4_PRIV","228","Number of Title IV students (private for-profit and nonprofit institutions)"
"NUM4_PROG",,"Number of Title IV students (program-year institutions)"
"NUM4_OTHER",,"Number of Title IV students (other academic calendar institutions)"
"NUM41_PUB",,"Number of Title IV students, $0-$30,000 family income (public institutions)"
"NUM42_PUB",,"Number of Title IV students, $30,001-$48,000 family income (public institutions)"
"NUM43_PUB",,"Number of Title IV students, $48,001-$75,000 family income (public institutions)"
"NUM44_PUB",,"Number of Title IV students, $75,001-$110,000 family income (public institutions)"
"NUM45_PUB",,"Number of Title IV students, $110,000+ family income (public institutions)"
"NUM41_PRIV","26","Number of Title IV students, $0-$30,000 family income (private for-profit and nonprofit institutions)"
"NUM42_PRIV","26","Number of Title IV students, $30,001-$48,000 family income (private for-profit and nonprofit institutions)"
"NUM43_PRIV","29","Number of Title IV students, $48,001-$75,000 family income (private for-profit and nonprofit institutions)"
"NUM44_PRIV","40","Number of Title IV students, $75,001-$110,000 family income (private for-profit and nonprofit institutions)"
"NUM45_PRIV","107","Number of Title IV students, $110,000+ family income (private for-profit and nonprofit institutions)"
"NUM41_PROG",,"Number of Title IV students, $0-$30,000 family income (program-year institutions)"
"NUM42_PROG",,"Number of Title IV students, $30,001-$48,000 family income (program-year institutions)"
"NUM43_PROG",,"Number of Title IV students, $48,001-$75,000 family income (program-year institutions)"
"NUM44_PROG",,"Number of Title IV students, $75,001-$110,000 family income (program-year institutions)"
"NUM45_PROG",,"Number of Title IV students, $110,000+ family income (program-year institutions)"
"NUM41_OTHER",,"Number of Title IV students, $0-$30,000 family income (other academic calendar institutions)"
"NUM42_OTHER",,"Number of Title IV students, $30,001-$48,000 family income (other academic calendar institutions)"
"NUM43_OTHER",,"Number of Title IV students, $48,001-$75,000 family income (other academic calendar institutions)"
"NUM44_OTHER",,"Number of Title IV students, $75,001-$110,000 family income (other academic calendar institutions)"
"NUM45_OTHER",,"Number of Title IV students, $110,000+ family income (other academic calendar institutions)"
"COSTT4_A","64420","Average cost of attendance (academic year institutions)"
"COSTT4_P",,"Average cost of attendance (program-year institutions)"
"TUITIONFEE_IN","50874","In-state tuition and fees"
"TUITIONFEE_OUT","50874","Out-of-state tuition and fees"
